ticker,last_close,adv_rs_cr
ADANIENT,2218.3,523.46
ADANIPORTS,1573.4,518.23
ASIANPAINT,2464.0,344.94
AXISBANK,1359.1,1031.59
BAJAJFINSV,1838.9,299.61
BAJFINANCE,908.25,1051.32
BHARTIARTL,1846.9,1886.19
BPCL,312.1,484.91
CIPLA,1240.8,233.39
COALINDIA,438.75,637.84
GRASIM,2720.5,296.09
HCLTECH,1442.3,551.57
HDFCBANK,799.9,4938.93
HDFCLIFE,616.45,279.29
HINDALCO,1039.0,689.04
HINDUNILVR,2240.8,497.12
ICICIBANK,1346.8,2637.11
INDUSINDBK,853.9,322.96
INFY,1318.7,1763.87
ITC,306.8,720.38
KOTAKBANK,383.6,804.77
LT,4096.1,1666.3
M&M,3200.2,1037.91
NTPC,393.6,525.69
ONGC,284.05,663.94
POWERGRID,318.1,512.44
RELIANCE,1365.0,2820.9
SBILIFE,1970.9,219.46
SBIN,1080.25,1993.68
SUNPHARMA,1675.5,591.0
TATACONSUM,1113.2,177.68
TCS,2581.5,1122.28
TECHM,1511.4,340.06
TITAN,4525.9,582.47
UPL,664.7,146.19
WIPRO,204.32,505.18
